card_number,text
1,Wouldn't be the first time amiright?? YEET
2,"That's a little triggering for me, don't ask why"
3,"Bro, you gotta tone it down"
4,"How are you texting me off my Grandad's phone? He passed away three years ago, who is this??"
5,"Whatever, man. You can take the friendship anklet I made you and flush it for all I care"
6,"Honestly, Ian, I'm really rattled by this. You used to be the shy kid."
7,Without me ??? :(
8,"Ahhhh, I'm flattered but to me you're kind of like a substitute teacher. I have a lot of fun when you're around, but I don't respect you whatsoever."
9,This is why I think we should start seeing other people
10,"Ew, you have an Android™?"
11,Yummy! I love it when Mr. Cuddles sends sexy texts.
12,What the fuck is wrong with you?
13,Your text disturbed my bible study and Pastor Mike made me read that out loud.
14,Hey how about you mind your own goddam beeswax
15,"Yeah, yeah, I know you were just looking for an excuse to text me. Wyd?"
16,"Grandpa, I am not in the mood for another one of your riddles."
17,So should I just delete the heart emojis next your name in my contacts?
18,"If you saw me in person, you'd understand. My life is straight up falling apart rn"
19,"Dude, I can't have this conversation with you again. Move on."
20,"Nice try, but you're not sneaking out of the friend zone that easily, buddy."
21,"Bro, chill with that shit. I had a big lunch, and you got me feelin' all queasy now."
22,"Omg, I'm THROBBING rn."
23,Grow the fuck up. That was like 3 years ago.
24,God gives his toughest battles to his strongest soldiers. Thinking of you.
25,Look imma keep it real with you...shut up
26,Is this you trying to flirt with me?
27,That text had more emotional impact than any Spielberg movie and I'm not just sayin that
28,"This again, Freddy? You said you'd stop day drinking on Mondays."
29,"I know exactly what you're getting at, and truthfully...I love you too."
30,"Damn, dude. Save some pussy for the rest of us."
31,I'd prefer not to answer
32,Yo that's a hard no for me dawg
33,"Srsly, Rebecca, ""The Bachelorette™"" just started."
34,I cannot even begin to understand you or your dumbass generation.
35,"Woah, I thought we agreed to keep our texts to a 3 word maximum. If I wanted to read a novel I'd go to Barnes & Noble®"
36,"I have a response to that, and it is ""mind your damn beeswax, chief"""
37,Wish I could talk about this more but it's LEG DAY again
38,"Funny you ask. Yes, I am double jointed. Haha why?"
39,Are you seriously texting me this from your grandma's funeral?
40,This random guy next to me on the subway read that over my shoulder and then got up and switched seats.
41,Hehe :)
42,"Oh, so first I'm a loser, and now that I made varsity, you wanna be my friend. Get the fuck out."
43,"I'm a grown man, I can do what I want"
44,"Srsly Rebecca, Game of Thrones just started"
45,What's the point of a restraining order if you're still gonna text me?
46,My teacher heard my phone buzz and read this out loud to the class. I want to die rn
47,"Now's not a good time, I got my dick stuck in the jar of peanut butter again"
48,alexa end this conversation for me
49,Do you have any pick-up lines that aren't from The Notebook?
50,I told you not to text me before 1am
51,Interesting thought. I will now ponder over it for a while.
52,Litty titties my brotha!
53,I'll bring you to therapy as my plus-one.
54,I will neither deny nor confirm.
55,"It's like my father always says, ""get over it you worthless crybaby and get a job."""
56,Talk about a panty dropper!
57,"This is going to take some thinking. If you need me, I'll be rollerblading through the cemetery."
58,Damn. This hurted
59,Shut up Stephanie
60,Little busy. We're at Golden Corral and grandpa just threw up on himself
61,I'm hearing what you're saying and I'm loving it but you used to cry in gym class like all the time so I can't take you seriously
62,Now's not a good time. My daughter just got her period.
63,Do u still wanna come over and wrestle?
