card_number,text
1,"After you hit your JUUL® while we were having sex, I realized this just isn't gonna work out."
2,"Don't freak out, but I just got a tattoo of your name on my lower back"
3,"Hey, babe. Can't make couples therapy tonight. Me and the boys are trying the poop-dollar prank at the park. Lol, I'll send vids."
4,"Hey, getting my asshole waxed. Can you distract me?"
5,Can't text well. Head stuck in bannister. Thought it would be funny. Send firemen.
6,"I know you're in a frat, but what made you think it'd be alright to wear a Miller Lite® sweat band to church with my family?"
7,"I'm still pissed about the time you borrowed my sheets for the toga party and shit yourself. I've been sleeping on a bare mattress for months, bro. Buy me new ones already."
8,We voted and you're definitely out of the acapella group.
9,Gotta cancel our date. My stocks are down today so I don't wanna spend a lot. IOU one romantic night at Cici's Pizza® :)
10,"Hey, I'm sitting in the front you can't miss me. I'm the guy wearing the white tank top and cargo shorts. Can't wait to meet you :)"
11,"Good morning, can you cover Sam's shift today?"
12,"Hey Denise! How's your weekend going? I got the new job, by the way. Can't wait to see you Monday :)"
13,Hey roomie sorry you heard me singing in the shower this morning I'm so embarrassed! lmao. Hahah what'd you think though?
14,Just trimmed the goatee and threw on my muscle shirt. Ready when you are.
15,"Can you please stop calling me ""daddy?"" It makes me really uncomfortable"
16,"Hey, thanks for having sex with me. If it happens again, do you think you could just play it up a little more? Sorry, it's just that my roommate doesn't believe I'm not a virgin, so I'd like him to hear it."
17,I can't stop thinking about this so I'm just gonna go for it and ask: what on earth do you carry in that Hello Kitty® satchel?
18,Morning! Ready to go fishin'?
19,"We may be having sexy time in the kitchen when you get back, so please knock before entering!"
20,Will you come to my family dinner? I want to piss off my dad and you're perfect
21,"You don't have to answer this, I just wanted to tell you that you make my penis feel tingly"
22,"Good morning cutie, let's get this bread!"
23,Do you know anyone looking for a roommate? My landlord just evicted me for having a speedboat parked in my [final location obscured by glare]
24,Dude you're talented. But yo-yo tricks aren't going to pay the bills.
25,"So sorry to cancel, but this girl called me babe last night and I feel like seeing you would be kind of like cheating on her I hope you understand"
26,"Wanna see a selfie of me? You can say no, but I have one ready to send"
27,I can't find my Darth Vader helmet and I need it desperately right now.
28,"Can't we just get along? You're the one who said good vibes only, remember?"
29,"Sorry I left the club. It was fun, but I've been afraid of the dark since I was a kid :/"
30,Dude I'm baked at the zoo rn and I swear these otters are trying to tell me something
31,"Hey, don't want to bother you on your vacation, but your dog is acting really mellow. Does he ever not breathe for a few hours?"
32,"Hey can I walk your dog? It's free, nothing weird, just wanna hang out with a dog for a bit"
33,Hey man have you seen my Slinky®?
34,"Wanna come over, kill a 30 rack, and play Bop It?"
35,"Going over your application and I see that you wrote ""allergic to shellfish"" under disabilities. Is this a joke?"
36,Hey I'm the really tall guy from the club last night. Wanna grab a smoothie?
37,"Hey, I just saw your dad drive by, and he had a blow-up sex doll in the front seat...?"
38,"My horoscope said I'm gonna have a romantic and passionate Tuesday night, so what are you up to later? Lol"
39,"Thanks for the vest, Aunt Clara. It doesn't resemble an emergency life jacket and no one makes fun of me!"
40,Grandma is crab walking in her sleep again. It's your turn to wake her up.
41,"Bro, be honest. Did you see my dick in the locker room?"
42,Hey babe. Had another dream about you. Wish you didn't dump me. Later
43,"Hey, getting a brazilian wax can you distract me?"
44,My Uber® driver just pulled over to take a poop in a Starbucks®. It's been like 30 minutes. Idk what to do.
45,"About to go steal some stuff, you want anything?"
46,Hey so I'm pooping at this 7-Eleven® and your number was carved on the wall. Do you wanna hang out? Lol
47,Sorry I didn't make your piano recital. I'm just more of a heavy metal guy.
48,Idk if you can come by anymore. My cat doesn't really fuck with you.
49,"Yo, I told my friends I had a girlfriend that goes to another school and now they want to meet her. If I pay you, can you pretend to be her?"
50,What it do barbecue? Heh just kidding. No it's Mark from last night. Was wondering why ya took off so early this morning. Never even heard ya leave lol.
51,Hey can I crash with you for a couple days? I think my cat's mad at me and I need some space from her
52,Got a bowl cut and pretty sure my girlfriend is gonna break it off
53,I want something more than just casual sex with you
54,"I have one question for you, Ashley. Can he spoon you like I can?"
55,"Hi, it's your Uber driver. I'm outside but was wondering if I could come in for a sec. Kinda having a bad day :/"
56,There will only be 7 planets after I destroy uranus. :)
57,Hi brian...I know we haven't talked in 9 months but do you have any plans for fathers day this year?
58,I enjoyed our date but I know it was you who farted
59,"Seriously, how did you cook that gumbo? Don't just say ""with the flick of dat wrist."""
60,Ever since the girls on the dance team started paying attention to you it's like I'm not even here
61,I just had a prostate exam. Might be acting weird for the next few days.
62,"You took my heart, can I at least have my hoodie back?"
63,Yo I know we had plans later tonight but this bar mitzvah has a champagne Slip 'N Slide® so I'm not leaving.
64,Got stoned and wandered around an arcade for about two hours. Blew $35 on whack-a-mole but it was a hell of a ride
65,My Uncle Nelson keeps asking if he can play harmonica at our wedding. Do we let him?
66,"Christopher, you can't smoke cigarettes in the cafeteria. This isn't juvie."
67,My gyno still asks about you
68,UGH prom is this weekend and I still haven't found a feather for my fedora
69,"I know there's a 35-year age difference between us, and I used to be your babysitter, but I truly believe that love has no age."
70,Those Jell-O® shots last night were no joke! I can't remember a damn thing.
71,"MOM, SOMEONE IS IN THE HOUSE. PLEASE CALL 911. I'M HIDING UNDER THE BED."
72,Almost had a threesome last night but didn't because one of the girls said I look too much like her dad
73,"Babe, just because I got a promotion doesn't mean you can lose your cool at the farmer's market every flippin' weekend."
74,"Girl, he's got a little dick, lol. I'll text you later."
75,"Hey roomie, can my niece take a dump in our bathroom? I JUST cleaned mine."
76,"Hi Susie! Kids are looking great. Let's grab brunch this week xx, Sharon"
77,"I really appreciate you inviting me to your family dinner, but never again please. The seasoning on your mom's chicken marsala was fucking pathetic."
78,I saw you called. I'm eating chicken nuggets. WTF do you want?
79,This is your neighbor again. Please turn down the volume or play something other than Drake.
80,Saw your nipples in the frozen food section at Walmart®. Didn't wanna say anything because I thought it'd be awkward. :)
81,"Hey, it's Charles, the guy that you let try your chicken biscuit."
82,Can you pick me up tonight for book club? Penny the Prius hasn't been feeling too well heh.
83,"Yo, wanna eat sushi at my place this weekend? My goldfish just died. We only have like 3 more days of it being fresh."
84,"Thanks a lot Todd, you got us kicked out of laser tag again."
85,"Hey buddy, real quick. Can you give me the beat boys and free my soul :) LOL"
86,"I just drank a White Claw and watched ""Project X."" So I'm hype. What we tryna do?"
87,"Hey, I know you from from church. She's quite a firecracker. She gave me your number to ask you to lunch."
88,Turn around :)
89,Thanks for taking the time to interview me today. Can't wait to learn about next steps.
90,"Hey real quick, which stick is easy to pee on if you're not sure if you're pregnant?"
91,Hey we're performing after school again. You still on the fence? This is the 4th recital you've missed!
92,It's movie night and Brad got Top Gun on Blu-Ray®. You coming or does the twin still have you on that leash?
93,"If you want to fuck, the code word is ""lasagna."""
94,"Your yearbook picture is pretty hot. Haha, random, I know."
